Stop,Conf?,lat,long,notes
1,Y,36.958483,127.043221,Ped Gate
2,Y,36.953073,127.035994,CPX Gate P859
3,Y,36.954204,127.034441,4-6 ACS P860
4,Y,36.954833,127.034179,Motor Pool 860
5,N,36.955023,127.030485,Dental Clinic P3020
6,Y,36.951102,127.030033,Bus Terminal P1780
7,Y,36.948287,127.025917,lodge 121
8,N,36.948554,127.023656,Museum P101
9,Y,36.950555,127.018486,CDC P693
10,Y,36.949668,127.020017,2CAB HQ P579
11,N,36.948977,127.023457,Med/Dental P555
12,Y,36.952311,127.023273,super gym
13,Y,36.957516,127.019764,School P5070
14,Y,36.963096,127.000512,Post Office P5275
15,Y,36.965502,126.998252,New PX P5700
16,Y,36.967463,127.000764,One Stop P6440
17,N,36.966687,127.004557,One Stop P6390
18,Y,36.973219,126.999514,Tomahawk/Pittman DFAC
19,N,36.975742,126.992196,VMF 7412
20,N,36.976577,126.989559,VMF 7515
21,Y,36.979031,126.984754,VMF 7514
22,N,36.974049,126.987809,Warehouse S6953
23,Y,36.970104,127.008671,spartan dfac S6321
24,Y,36.96512,127.008948,pacific victor chapel P6360
25,Y,36.962403,127.015558,Barracks P6001
26,Y,36.960786,127.02159,talon dfac
27,N,36.95483,127.021297,3rd MI P880
28,N,36.967672,127.016666,TMP P7010
29,Y,36.971341,127.022356,ROKA HQ P12600
30,Y,36.965602,127.031501,8A HQ P12401
31,N,36.963047,127.036677,Desiderio Tower S12114
32,Y,36.965264,127.038901,provider grill
33,N,36.960418,127.038962,Zoeckler S1210
50,N,36.964002,127.003002,New Commissary
54,N,36.972771,126.996075,Warrior Zone
