Text,Building
p= 2096 front side,2096
p= 2098 front side,2098
p=hospital 3030,3030
p=6320,6320
p= 6392 dumpster side,6392
p=6050,6050
p=739,739
p=6322,6322
p=6323,6323
p=6918 back side,6918
p=6915 back side,6915
p=onestop 6400,6400
p=6326,6326
p= 6005 parking lot,6005
p=738,738
p= 6900 back side,6900
p= 6003 parking lot,6003
p= 6904,6904
p=6070,6070
p=6910,6910
p=740,740
p=24hour shoppette 2270,2270
p=6701,6701
p= lodge 121 front side,121
p= 6325,6325
p=7213 parking lot,7213
p=860,860
p=6703,6703
p=6324,6324
p= 6006 parking lot,6006
p=6060,6060
p=12001,12001
p=1860,1860
p=2061 front side,2061
p=6706,6706
p=6918,6918
p= jenkins clinic 555,555
p= super gym 1949 taxi sign,1949
p=7243 parking lot,7243
p=kims clinic 6370 bus stop,6370
p=6907,6907
p=1057,1057
p=1292,1292
p= 7113 parking lot,7113
p= 6390 bus stop-6383,6390
p= super hangar 882,882
p=6705,6705
p=2017,2017
p=CIF 6950 front parking lot,6950
p= covid test center 118,118
p= hospital 3030,3030
p= education center 657 road side,657
p=6004,6004
p=6707,6707
p= on post vatos tacos 12385,12385
p=6005 road side,6005
p= sentry mall burgerking 112,112
p= onestop 6400,6400
p=6900,6900
p= zoeckler gym 1296,1296
p= 6392 front side,6392
p= 6940 parking lot,6940
p=carius dental clinic 3020,3020
p=6915,6915
p=6003 bus stop,6003
p= ncoa 6120 main gate parking lot,6120
p=6704,6704
p=7233 parking lot,7233
p=1294,1294
p= vandal training complex 6110,6110
p= sitman gym 6815,6815
p= 6904 back side,6904
p=2015,2015
p= spartan dfac 6321 dumpster side,6321
p=579,579
p= 6323,6323
p=post office 5730,5730
p=5071,5071
p=12002,12002
p=6105,6105
p= river bend golf club 5904,5904
p= usfk hq 12412 dumpster side,12412
p=7133 parking lot,7133
p=6708,6708
p= mp station 859 bike rack,859
p= burgerking & popeyes 6365,6365
p= CIF 6950 front parking lot,6950
p= 7313 parking lot,7313
p=8th army hq 12400 front side,12400
p=6006 road side,6006
p=hospital 3030 er,3030
p= 24hour shoppette 2270,2270
p= duke library 2220,2220
