building,Conf?,lat,long,notes
2098,Y,36.961055,127.0223,barracks 2098
6320,Y,36.969749,127.009689,barracks 6320
6392,Y,36.967706,127.007463,baracks 6392
739,Y,36.947097,127.032444,barracks 739
6322,Y,36.970478,127.007506,barracks 6322
6323,Y,36.969633,127.006154,barracks 6323
6915,Y,36.9731,126.989457,barracks 6915
6326,Y,36.967771,127.008733,barracks 6326
6005,Y,36.963495,127.014708,barracks 6005
738,Y,36.949211,127.031208,barracks 738
6070,Y,36.965178,127.009713,barracks 6070
740,Y,36.947095,127.03133,barracks 740
2270,Y,36.962667,127.008734,shoppette
6701,Y,36.972511,127.000715,barracks 6701
6325,Y,36.968132,127.007595,barracks 6325
6703,Y,36.973462,126.998572,barracks 6703
6324,Y,36.968573,127.006521,barracks 6324
12001,Y,36.963817,127.038319,barracks 12001
6918,Y,36.973452,126.988373,barracks 6918
6370,Y,36.96669,127.010267,clinic
121,Y,36.948549,127.027196,lodge 121
7213,Y,36.971596,127.00528,MP 7213
860,Y,36.954826,127.034159,MP 860
6006,Y,36.964822,127.015372,barracks 6006
1860,Y,36.956253,127.032525,MP 1860
555,Y,36.948976,127.02343,jenkins clinic
1949,Y,36.952304,127.023163,super gym
7243,Y,36.972232,127.003395,MP 7243
6907,Y,36.974711,126.990385,barracks 6907
1057,Y,36.959884,127.021256,barracks 1057
1292,Y,36.964917,127.040153,barracks 1292
7113,Y,36.969963,127.010234,MP 7113
6390,Y,36.967845,127.005259,barracks 6390
882,Y,36.958228,127.027203,super hangar/MP 882
6705,Y,36.971434,127.000988,barracks 6705
1,Y,36.958483,127.043221,Ped Gate
2,Y,36.953073,127.035994,CPX Gate P859
3,Y,36.954204,127.034441,4-6 ACS P860
4,Y,36.954833,127.034179,Motor Pool 860
5,N,36.955023,127.030485,Dental Clinic P3020
6,Y,36.951102,127.030033,Bus Terminal P1780
7,Y,36.948287,127.025917,lodge 121
8,N,36.948554,127.023656,Museum P101
9,Y,36.950555,127.018486,CDC P693
10,Y,36.949668,127.020017,2CAB HQ P579
11,N,36.948977,127.023457,Med/Dental P555
12,Y,36.952311,127.023273,super gym
13,Y,36.957516,127.019764,School P5070
14,Y,36.963096,127.000512,Post Office P5275
15,Y,36.965502,126.998252,New PX P5700
16,Y,36.967463,127.000764,One Stop P6440
17,N,36.966687,127.004557,One Stop P6390
18,Y,36.973219,126.999514,Tomahawk/Pittman DFAC
19,N,36.975742,126.992196,VMF 7412
20,N,36.976577,126.989559,VMF 7515
21,Y,36.979031,126.984754,VMF 7514
22,N,36.974049,126.987809,Warehouse S6953
23,Y,36.970104,127.008671,spartan dfac S6321
24,Y,36.96512,127.008948,pacific victor chapel P6360
25,Y,36.962403,127.015558,Barracks P6001
26,Y,36.960786,127.02159,talon dfac
27,N,36.95483,127.021297,3rd MI P880
28,N,36.967672,127.016666,TMP P7010
29,Y,36.971341,127.022356,ROKA HQ P12600
30,Y,36.965602,127.031501,8A HQ P12401
31,N,36.963047,127.036677,Desiderio Tower S12114
32,Y,36.965264,127.038901,provider grill
33,N,36.960418,127.038962,Zoeckler S1210
2A,Y,36.953073,127.035994,CPX Gate P859
50,N,36.964002,127.003002,New Commissary
54,N,36.972771,126.996075,Warrior Zone
2017,Y,36.960544,127.022003,barracks 2017
6950,Y,36.972441,126.986844,warehouse 6950
118,Y,36.948273,127.02597,bldg 118 covid test
3030,Y,36.953512,127.028215,hospital 3030
657,Y,36.949623,127.020989,bldg 657 ed center
6004,Y,36.964159,127.017438,barracks 6004
12385,Y,36.965661,127.032425,vatos tacos bldg 12385
6005,Y,36.963528,127.01463,barracks 6005
112,Y,36.948275,127.025441,"burger king, bldg 112"
6900,Y,36.974465,126.988246,barracks 6900
6392,Y,36.967648,127.007379,barracks 6392
6940,Y,36.975642,126.990381,HQs 6940
3020,Y,36.954116,127.031112,"carius dental clinic, bldg 3020"
6003,Y,36.965164,127.016257,barracks 6003
6120,Y,36.966786,127.013117,NCOA bldg 6120
6704,Y,36.97249,126.996962,barracks 6704
6233,Y,36.972117,127.003713,MP 7233
1294,Y,36.963832,127.039939,barracks 1294
6110,Y,36.967668,127.010996,vandal training complex bldg 6110
6815,Y,36.97431,126.994133,sitman gym bldg 6815
2015,Y,36.960206,127.022093,barracks 2015
579,Y,36.949354,127.019472,bldg 579
6323,Y,36.969599,127.006207,barracks 6323
5730,Y,36.963096,127.000512,Post Office P5275
5071,Y,36.956835,127.018923,towers 5071
6105,Y,36.968102,127.013771,barracks 6105
5904,Y,36.971685,126.986171,golf club house bldg 5904
7133,Y,36.970577,127.008348,MP 7133
859,Y,36.953622,127.034315,des bldg 859
6365,Y,36.965349,127.008924,popeyes bldg 6365
7313,Y,36.973419,127.001824,MP 7313
12400,Y,36.96597,127.030365,8a 12400
6006,Y,36.964806,127.015359,barracks 6006
2220,Y,36.959833,127.016256,duke library 2220
2096,Y,36.960867,127.020543,barracks 2096
6050,Y,36.966438,127.01223,barracks 6050
6400,Y,36.967486,127.003529,one stop
6904,Y,36.975035,126.989264,barracks 6904
6910,Y,36.973728,126.990439,barracks 6910
6060,Y,36.966238,127.010391,barracks 6060
2061,Y,36.959822,127.022562,barracks 2061
